order	phylum	class	n_genomes	mttB-cbp-metH'	gbcAB	Cob_syn_75_perc
o__SAR324	p__SAR324	c__SAR324	22	63.63636363636363	4.545454545454546	72.72727272727273
o__Thalassobaculales	p__Pseudomonadota	c__Alphaproteobacteria	22	68.18181818181817	50	81.81818181818183
o__Bacillales_D	p__Bacillota	c__Bacilli	21	0	0	0
o__Bdellovibrionales	p__Bdellovibrionota	c__Bdellovibrionia	21	0	4.761904761904762	0
o__Polyangiales	p__Myxococcota	c__Polyangia	21	0	76.19047619047619	9.523809523809524
o__UBA7985	p__Pseudomonadota	c__Alphaproteobacteria	21	95.23809523809523	85.71428571428571	90.47619047619048
o__Calditrichales	p__Calditrichota	c__Calditrichia	20	5	0	0
o__SM23-33	p__Planctomycetota	c__Phycisphaerae	20	30	0	25
o__Aquificales	p__Aquificota	c__Aquificae	19	0	0	0
o__Ga0077536	p__Pseudomonadota	c__Gammaproteobacteria	19	5.263157894736842	89.47368421052632	0
o__Peptostreptococcales	p__Bacillota_A	c__Clostridia	19	15.789473684210526	0	52.63157894736842
o__Thermotogales	p__Thermotogota	c__Thermotogae	19	0	0	5.263157894736842
o__UBA6615	p__Pseudomonadota	c__Alphaproteobacteria	19	0	10.526315789473683	78.94736842105263
o__Cytophagales_B	p__Bacteroidota	c__Bacteroidia	18	0	100	0
o__Francisellales	p__Pseudomonadota	c__Gammaproteobacteria	18	0	0	0
o__Gemmatimonadales	p__Gemmatimonadota	c__Gemmatimonadetes	18	22.22222222222222	0	0
o__Leptospirales	p__Spirochaetota	c__Leptospirae	18	0	11.11111111111111	33.33333333333333
o__Thermodesulfovibrionales	p__Nitrospirota	c__Thermodesulfovibrionia	18	5.555555555555555	0	44.44444444444444
o__Thiotrichales	p__Pseudomonadota	c__Gammaproteobacteria	18	16.666666666666664	11.11111111111111	50
o__UBA9968	p__Desulfobacterota_B	c__Binatia	18	0	0	0
o__Bacillales_A	p__Bacillota	c__Bacilli	17	0	0	23.52941176470588
o__Bin18	p__Desulfobacterota_B	c__Binatia	17	0	5.88235294117647	0
